Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map04720,9,-1.3842,0.85639,1,1.3842,0.14361,0.48889,-1.0179,0.88055,1,1,-0.63979,0.7927,1,8,-0.85347,0.73662,1
map00300,36,-2.3317,0.94586,1,2.3317,0.054141,0.48889,-0.71587,0.88045,1,9,-0.56321,0.91519,1,27,-0.50145,0.63915,1
map00642,1,1.5792,0.06773,0.97669,-1.5792,0.93227,0.99506,1.204,0.17184,1,1,1.204,0.16547,1,0,NA,NA,NA
map01220,35,3.3604,0.00026111,0.021366,-3.3604,0.99974,1,-0.15363,0.73824,1,27,0.67003,0.73364,1,8,-1.5523,0.88754,1
map04740,3,-0.65511,0.69154,1,0.65511,0.30846,0.57711,-1.1626,0.86981,1,0,NA,NA,NA,3,-1.1626,0.82601,1
map04713,5,-1.0855,0.78553,1,1.0855,0.21447,0.51922,-0.95405,0.83682,1,0,NA,NA,NA,5,-0.95405,0.77081,1
map00281,6,1.0458,0.13102,1,-1.0458,0.86898,0.96744,-0.17276,0.63103,1,5,-0.39476,0.82664,1,1,0.45952,0.36386,1
map05160,11,-1.5413,0.86702,1,1.5413,0.13298,0.48889,-0.17377,0.6679,1,1,0.56186,0.36336,1,10,-0.35992,0.56972,1
map04310,12,-1.4639,0.84497,1,1.4639,0.15503,0.48889,-1.3197,0.92546,1,1,-0.18775,0.64709,1,11,-1.3217,0.85559,1
map00901,1,-0.24565,0.54388,1,0.24565,0.45612,0.66551,-0.86307,0.80725,1,0,NA,NA,NA,1,-0.86307,0.78021,1
map04210,9,-1.2341,0.82242,1,1.2341,0.17758,0.48889,-1.4539,0.94253,1,1,-0.96701,0.87143,1,8,-1.2002,0.82149,1
map00061,22,-0.88037,0.63808,1,0.88037,0.36192,0.59834,2.4129,0.051656,0.81457,11,0.83436,0.4941,1,11,2.578,0.021182,0.34863
